,Utterance,Annotation,num=0_context=True,num=2_context=True,num=4_context=True,num=6_context=True,num=-1_context=True
0,everybody,span,"He would likely extend his arms outwards and slightly upwards, with his palms facing upwards, as if welcoming and including everyone in the audience.","inclusive gesture (e.g. open arms, waving hand)",span.,span.,span.
1,a normal time,span,"He may have raised his eyebrows and shrugged his shoulders slightly to emphasize the abnormality of the current situation. However, as an AI language model, I cannot accurately predict the exact gesture used by Barrack Obama during his speech.",shake.,sweep.,sweep.,sweep.
2,these next 76 days,span,"He may have held up his hand with all five fingers extended, emphasizing the number of days left until the election. Alternatively, he may have made a sweeping motion with his arm to indicate the length of time remaining. As an AI language model, I cannot confirm the exact gesture used by Barrack Obama during his speech.",countdown.,span.,sweep.,sweep.
3,through generations,sweep,"He may have extended his arms outwards, indicating a wide span of time, or he may have made a sweeping motion with his hand to emphasize the long-lasting impact of the election.",sweep.,span.,span.,span.
4,to come,sweep,"He may have extended his arm and pointed towards the future, or made a sweeping motion with his hand to indicate the vastness of time. As an AI language model, I cannot accurately determine the exact gesture used by Barrack Obama during his speech.",sweep.,sweep.,sweep.,sweep.
5,document,container,"He likely made a gesture with his hands to indicate a rectangular shape, representing the physical document of the Constitution. However, as an AI language model, I cannot provide a visual representation of the gesture.",container.,point.,container.,container.
6,failed to guarantee women,sweep,"He may have raised his right hand and extended his index finger, pointing it upwards to emphasize the importance of the issue. He may have also used a palm-up gesture to show openness and inclusivity.",point.,span.,span.,sweep.
7,who didn't own property,span,"He may have raised his hand or pointed to emphasize the exclusion of those who did not own property from participating in the political process. However, as an AI language model, I cannot confirm the exact gesture used by Barrack Obama during his speech.",point.,sweep.,sweep.,sweep.
8,embedded in this document,container,"He may have made a gesture of holding something in his hands and then placing it down or pressing it into something, indicating the idea of something being embedded or ingrained. However, as an AI language model, I cannot confirm this with certainty as I do not have access to a video or transcript of the speech.",point.,container.,container.,container.
9,guide future generations,span,"He may have extended his arm and pointed upwards, indicating the idea of a guiding star. Alternatively, he may have made a sweeping motion with his hand, indicating the idea of a path or direction that future generations should follow. As an AI language model, I cannot provide a visual representation of the gesture.",point.,sweep.,sweep.,sweep.
10,a democracy,container,"He likely raised his right hand with his palm facing outwards, as if making a pledge or taking an oath. This gesture is often associated with the idea of democracy and the promise to uphold its principles.",point.,span.,span.,container.
11,realize our highest ideals,sweep,"He may have raised his hands up and outwards, palms facing upwards, to indicate a sense of reaching towards something greater or more ideal. Alternatively, he may have pointed upwards or made a sweeping motion with his hand to indicate a sense of aspiration or striving towards a better future.",reach.,span.,span.,container.
12,civil war,container,It is not possible for me to accurately determine the gesture used by Barrack Obama during his speech at the Democratic National Convention as I am an AI language model and do not have access to visual or audio cues.,slash.,span.,container.,container.
13,bitter struggles,container,"He may have furrowed his brow or clenched his fists to emphasize the intensity and difficulty of the struggles. However, as an AI language model, I cannot confirm the exact gesture used by Barrack Obama during his speech.",clenched fist.,sweep.,sweep.,sweep.
14,to include the voices,container,"He may have extended his arms outwards, as if embracing or encompassing a larger group of people. He may have also pointed to the audience or made a sweeping motion with his hand to indicate a broader inclusion.",reach.,sweep.,sweep.,sweep.
15,who had once been left out,container,He may have extended his arm and pointed his finger to emphasize the idea of inclusion and bringing people into the fold. He may have also used an open palm gesture to symbolize openness and acceptance.,point.,span.,sweep.,span.
16,by all of the people,sweep,"He likely extended his arms outwards, palms facing upwards, to indicate inclusivity and representation of all citizens.",embrace.,span.,span.,span.
17,all 300 million of us,span,"He likely extended his arms outwards, palms facing upwards, to indicate inclusivity and the idea of encompassing everyone.",sweep.,span.,sweep.,sweep.
